Entity,RecordId,Error Description
Opportunity,26f6fc40-4f8d-e111-ac11-005056af2f20,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
Opportunity,d98dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,db8dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,dd8dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,df8dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,e18dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,a78a0d6d-3b8c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,5b883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
Opportunity,5d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
Opportunity,6d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
Opportunity,6f883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,71883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,7d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
Opportunity,81883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,87883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
Opportunity,8d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.
Opportunity,8f883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.
