Entity,RecordId,Error Description, OptionSetValues
Opportunity,26f6fc40-4f8d-e111-ac11-005056af2f20,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices :  | arup_services : 5,31,13 | arup_projecttype : 26,33,16,34 | arup_disciplines : 42,56,29 | arup_projectsector : 4
Opportunity,d98dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000005 | arup_services :  | arup_projecttype : 26 | arup_disciplines : 16,7,4 | arup_projectsector : 5,47
Opportunity,db8dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000005 | arup_services :  | arup_projecttype : 26 | arup_disciplines : 16,7,4 | arup_projectsector : 5
Opportunity,dd8dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000005 | arup_services :  | arup_projecttype : 26 | arup_disciplines : 16,7,4 | arup_projectsector : 21
Opportunity,df8dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000005 | arup_services :  | arup_projecttype : 26 | arup_disciplines : 16,7,4 | arup_projectsector : 5
Opportunity,e18dbb5f-a883-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000005 | arup_services :  | arup_projecttype : 26 | arup_disciplines : 16,7,4 | arup_projectsector : 29
Opportunity,a78a0d6d-3b8c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000001,100000000,100000002 | arup_services : 29,28,31,18,20 | arup_projecttype : 5,26 | arup_disciplines : 10,7,37,71,23 | arup_projectsector : 23
Opportunity,5b883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000001 | arup_services : 5 | arup_projecttype : 32 | arup_disciplines : 71,4 | arup_projectsector : 20,25,56
Opportunity,5d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000000 | arup_services : 5,31 | arup_projecttype : 5 | arup_disciplines : 6,60 | arup_projectsector : 29
Opportunity,6d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000001,100000002,100000008 | arup_services : 1,5,30 | arup_projecttype : 32 | arup_disciplines : 35,52,64 | arup_projectsector : 2
Opportunity,6f883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000003 | arup_services : 31 | arup_projecttype : 26 | arup_disciplines : 6,56,5,70,4 | arup_projectsector : 29
Opportunity,71883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000002 | arup_services : 31 | arup_projecttype : 31,26 | arup_disciplines : 11,10,4 | arup_projectsector : 12
Opportunity,7d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000005,100000002,100000008 | arup_services : 5 | arup_projecttype : 32 | arup_disciplines : 11,121,64 | arup_projectsector : 35
Opportunity,81883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000006 | arup_services : 6,12,10 | arup_projecttype : 26 | arup_disciplines : 6 | arup_projectsector : 12
Opportunity,87883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000001 | arup_services : 5 | arup_projecttype : 32 | arup_disciplines : 78 | arup_projectsector : 51
Opportunity,8d883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_projecttype' on record of type 'opportunity' is outside the valid range.,arup_globalservices :  | arup_services : 29,18 | arup_projecttype : 26 | arup_disciplines : 71 | arup_projectsector : 19
Opportunity,8f883af7-458c-e811-80fa-005056af6807,A validation error occurred.  The value of 'arup_services' on record of type 'opportunity' is outside the valid range.,arup_globalservices : 100000001 | arup_services : 5 | arup_projecttype : 32 | arup_disciplines : 7,40 | arup_projectsector : 48
