Entity,RecordId,Error Description, OptionSetValues
Account,e8b32b59-288d-e111-a7c5-005056af76ff,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 16,
Account,3063d0a7-408d-e111-a7c5-005056af76ff,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 47,
Account,16cac6e0-126e-e511-9413-005056b5174a,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 35,
Account,52392999-4626-e511-940f-005056b51b65,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 10,21,
Account,94540356-7e62-e511-9412-005056b51b65,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 5,
Account,39906605-5d9d-e511-9417-005056b51b65,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 35,
Account,b3e14780-0a81-e711-80fb-005056b52322,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 6,10,13,32,19,59,49,54 25,65,48,67,46
Account,2470c2f9-2033-e411-9406-005056b52da4,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 62,63,
Account,eb896701-d3d6-e411-940b-005056b52da4,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : 35,
Account,2e8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,308d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,328d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,348d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,368d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,388d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3c8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3e8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,408d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,428d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,448d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,468d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,488d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4a8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4c8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4e8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,508d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,548d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,568d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,588d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5a8d7d61-eb90-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,0749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,0949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,0b49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,0d49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,0f49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1149766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1349766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1549766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1b49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1d49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,1f49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2149766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2349766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2549766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2b49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2d49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,2f49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3149766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3349766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3549766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3b49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3d49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,3f49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4349766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4549766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4b49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4d49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,4f49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5149766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5349766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5549766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5b49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5d49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,5f49766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,6149766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,6349766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,6549766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,6749766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
Account,6949766e-78a1-e411-940c-005056b52e59,Input string was not in a correct format.,arup_smallbusiness :  | arup_services :  | arup_clientsector : #N/A
